"ID","Latitude","Longitude","Distance"
"015225","34.338117","-86.312618","0.0"
"015227","33.7216","-88.16685","0.0"
"015228","32.317591","-86.239756","0.0"
"015303","33.476557","-86.899837","0.0"
"015315","33.894135","-87.170812","0.0"
"015320","31.301903","-85.83594","0.0"
"015321","33.406013","-86.807404","0.0"
"015322","31.49693","-87.319656","0.0"
"015326","33.240118","-87.581128","0.0"
"015330","32.312321","-87.798207","0.0"
"015331","32.494467","-85.036459","0.0"
"015336","31.716463","-86.266229","0.0"
"015361","34.914537","-87.52892","0.0"
"015369","33.360525","-86.888567","0.0"
"015371","33.228207","-87.559596","0.0"
"015372","34.762113","-86.595633","0.0"
"015373","31.553435","-85.253088","0.0"
"015374","32.019936","-87.28001","0.0"
"015375","33.680005","-85.70911","0.0"
"015376","33.937545","-87.821164","0.0"
"015378","34.316472","-86.311571","0.0"
"015379","30.657915","-88.204527","0.0"
"015381","30.667515","-87.904407","0.0"
"015382","32.447775","-85.018917","0.0"
"015383","34.151558","-86.848202","0.0"
"015386","32.944953","-85.934504","0.0"
"015388","33.59601","-86.661791","0.0"
"015390","32.371334","-86.303894","0.0"
"015391","33.810424","-85.765632","0.0"
"015392","34.742745","-87.638913","0.0"
"015393","32.387257","-86.282717","0.0"
"015396","32.699742","-87.585207","0.0"
"015397","34.717238","-86.631351","0.0"
"015398","31.526744","-87.32584","0.0"
"015400","33.574528","-86.418565","0.0"
"015402","34.971188","-87.584862","0.0"
"015403","30.692225","-88.119955","0.0"
"015404","33.446729","-86.979292","0.0"
"015406","30.473862","-88.355092","0.0"
"015407","33.785173","-86.216884","0.0"
"015408","33.889072","-87.521516","0.0"
"015410","32.638059","-85.406529","0.0"
"015411","33.253357","-86.810244","0.0"
"015413","32.437988","-87.014362","0.0"
"015414","32.89219","-85.403603","0.0"
"015415","30.699099","-88.134058","0.0"
"015416","31.278175","-86.497738","0.0"
"015417","30.90461","-87.786163","0.0"
"015419","31.099376","-85.67548","0.0"
"015420","34.91269","-85.769553","0.0"
"015422","33.965415","-86.45726","0.0"
"015423","33.45638","-86.799872","0.0"
"015424","33.142731","-85.383824","0.0"
"015425","31.242318","-85.454976","0.0"
"015426","30.686963","-88.132073","0.0"
"015429","30.694868","-88.051968","0.0"
"015431","34.754934","-86.750664","0.0"
"015433","33.527028","-86.717332","0.0"
"015434","30.626976","-88.138187","0.0"
"015435","30.68484","-88.129907","0.0"
"015436","32.381449","-86.24753","0.0"
"015437","34.181651","-86.840852","0.0"
"015440","34.677424","-86.579858","0.0"
"015442","32.18403","-86.58025","0.0"
"015443","30.563094","-87.705582","0.0"
"015445","33.56042","-86.86898","0.0"
"015446","33.505692","-86.783018","0.0"
"015447","30.555349","-87.898654","0.0"
"015448","34.588614","-86.453821","0.0"
"015450","34.660866","-86.560608","0.0"
"015451","31.001137","-86.311082","0.0"
"015452","32.63398","-85.451776","0.0"
"015453","33.195327","-86.592013","0.0"
"015454","34.607182","-86.560225","0.0"
"015455","33.4655","-86.768854","0.0"
"015456","30.662132","-88.230313","0.0"
"015457","33.54115","-86.633602","0.0"
"015458","34.752802","-86.664534","0.0"
"015459","33.363719","-86.815925","0.0"
"015460","32.50463","-86.416679","0.0"
"015461","33.4893","-86.956577","0.0"
"015463","30.62517","-88.172099","0.0"
"015464","33.410381","-86.809131","0.0"
"015465","33.22923","-87.569375","0.0"
"015467","33.613081","-86.609353","0.0"
"015468","33.429506","-86.737354","0.0"
"015469","32.325755","-86.285739","0.0"
"01A193","32.352969","-86.327071","0.0"
"01A208","32.424947","-86.286609","0.0"
"025010","55.353768","-131.686161","0.0"
"025015","56.449893","-132.364407","0.0"
"025018","61.212693","-149.776697","0.0"
"025019","56.767056","-132.93195","0.0"
"025020","64.83058","-147.744472","0.0"
"025021","60.493319","-151.081843","0.0"
"025024","60.132064","-149.444393","0.0"
"025025","61.222224","-149.717417","0.0"
"025026","64.50111","-165.40639","0.0"
"025027","58.32911","-134.465733","0.0"
"025028","60.536166","-145.75335","0.0"
"025030","57.801333","-152.374434","0.0"
"025031","59.652713","-151.549977","0.0"
"025032","57.059605","-135.344513","0.0"
"025034","61.121987","-146.258319","0.0"
